"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 10 23:43:09 CST 2021","Tue Aug 10 23:43:15 CST 2021","6052","ddt","login","Test_Commerce","","","test_login[listcases0]",""
"passed","Wed Aug 11 01:04:46 CST 2021","Wed Aug 11 01:04:48 CST 2021","1458","ddt","login_excel","Test_Commerce","","","test_login[table1]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table4]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table2]",""
"passed","Wed Aug 11 01:04:48 CST 2021","Wed Aug 11 01:04:48 CST 2021","48","ddt","login_excel","Test_Commerce","","","test_login[table3]",""
"passed","Wed Aug 11 01:04:52 CST 2021","Wed Aug 11 01:04:52 CST 2021","402","ddt","login_excel","Test_Commerce","","","test_login[table5]",""
"passed","Wed Aug 11 01:04:46 CST 2021","Wed Aug 11 01:04:46 CST 2021","676","ddt","login_excel","Test_Commerce","","","test_login[table0]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table1]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table3]",""
"passed","Wed Aug 11 01:04:48 CST 2021","Wed Aug 11 01:04:48 CST 2021","75","ddt","login_excel","Test_Commerce","","","test_login[table2]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table5]",""
"failed","Wed Aug 11 01:04:48 CST 2021","Wed Aug 11 01:04:52 CST 2021","3798","ddt","login_excel","Test_Commerce","","","test_login[table4]",""
"passed","Wed Aug 11 00:27:56 CST 2021","Wed Aug 11 00:27:56 CST 2021","0","ddt","qushuju","Test_Commerce","","","test_login[table0]",""
